<1,+1.0>
<+382.0,+19.54482028569206363578801891050542008887734279744657413905717596906348349385422732>
<+383.0,+19.57038579078092675911909433536240340033496536870099839128990362617195569990799092>
<+384.0,+19.59591794226542478557827259764713113572757984525336102746154053800768301965852021>
<+385.0,+19.62141687034858346852600378918177432631283452415756743685957022595613835781107423>
<+386.0,+19.64688270438850052229255339234651169586978136099472071715450235717947224698478430>
<+387.0,+19.67231557290600195703232999290800488378089895965136930959638031675697956046572691>
<+388.0,+19.69771560359220944349242282983524896339227257488552834344630905967288116741535726>
<+389.0,+19.72308292331601996806399908324780379973246800944913247681402371080711838241974009>
<+390.0,+19.74841765813149901743846104372309906608526186808200809881261861472861336976126797>
<+391.0,+19.77371993328518851154800229952465553005078228754413230151931226248816756086583971>
<+392.0,+19.79898987322333068322364213893577309997540625527727302447351633187025469846949854>
<+393.0,+19.82422760159900908314438364176220811754982008862212856904827262136449611978426057>
<+394.0,+19.84943324127920786917046572629124489405415940550047902354879922955786433837925886>
<+395.0,+19.87460691435179052004359665772274342195870529816911228812457377139054672243140189>
<+396.0,+19.89974874213239909468959642002412010356253127353612158235209287669890785565426308>
<+397.0,+19.92485884517127513996625918948710972220911307203723578829527585549390296680912224>
<+398.0,+19.94993734326000333165388223413852556781578862570156162205078363753386164936214627>
<+399.0,+19.97498435543817891578038232805828719786257611664143653778310303067737567062314451>
<+400.0,+20.0>
<+401.0,+20.02498439450078572769721214832260542148645131291593728108891112761991399247417690>
<+402.0,+20.04993765576342135075873850245161032037501222255018126751991575613212095132176647>
<+403.0,+20.07485989988473120053970371927405037581012540992428349132816892650253751681027614>
<+404.0,+20.09975124224178054043852982551915237389004694005275458114565659465698246310394076>
<+405.0,+20.12461179749810726768256301858148611896556523650373151843807520869468833074024409>
<+406.0,+20.14944167960988441640651478913428420247350153868767040311096472293426760450506703>
<+407.0,+20.17424100183201439887239681637401403449343675596738423248061763611800738281501723>
<+408.0,+20.19900987672415590672677183413920142120779792895922588370604952465056962847345210>
<+409.0,+20.22374841615668437951298755924003257943881710842299956968257048383238947749908089>
<+410.0,+20.24845673131658693324690228990117008422783938434580621761129726742734707449936670>
<+411.0,+20.27313493271329262771887552164499897513538890857332286559134026311881231126216214>
<+412.0,+20.29778313018443893729704023787174876716384500377681330450730184122280764540103501>
<+413.0,+20.32240143290157527637177622948736453515896581361731280867776268052936334196355662>
<+414.0,+20.34698994937580441719366897987790731558724497176986469825065874624218479196133776>
<+415.0,+20.37154878746336262471198859756141173592165721549614120143841117167954465664662767>
<+416.0,+20.39607805437113932011289643609112795825508378439838563033988321770373452824889678>
<+417.0,+20.42057785666213707208133509387442568692253147085632332762178214518449717698281619>
<+418.0,+20.44504830026087270236314250803608400527239810000714151374528745315234199315524832>
<+419.0,+20.46948949045872027997972253544304990305935805908710082006152179250554931343934808>
<+420.0,+20.49390153191919676644207736104210398147006532690966585908395699978069597141070814>
<+421.0,+20.51828452868319106251973819914105908852575535625120080636585503612055155897995528>
<+422.0,+20.54263858417413719553879671753489782558149466913818771769771681720719043866141067>
<+423.0,+20.56696380120313237480761434725454688138193038300397882645532455703555134541045099>
<+424.0,+20.59126028197400063159473892839509995739760284698391384448921208279612425599557754>
<+425.0,+20.61552812808830274910704927987038512573599612686810217199316786547477173168810796>
<+426.0,+20.63976744055029317713322978747672885080092360667556308406184294449075675697329909>
<+427.0,+20.66397831977182461542448850173478640751503231408611870388871247732261977542361002>
<+428.0,+20.68816086557720093947719888525399473660404474994337589135423071520118007483874175>
<+429.0,+20.71231517720797913215717634404813566189301249146673685873325334816192186242486843>
<+430.0,+20.73644135332772087455898679984992632401184434584868957522328368883250714686983553>
<+431.0,+20.76053949202669443962249628534107173529464680992962687132698155401644108641435696>
<+432.0,+20.78460969082652752232935609807046840331366304572456753666968375342319620290560044>
<+433.0,+20.80865204668481163077090152210335293247383551695997635080673413509944061649908494>
<+434.0,+20.83266665599965865301272163463839552821536482575610378535671465212573264049344608>
<+435.0,+20.85665361461421020547670360863021104427713276688744002341807834414066203765966986>
<+436.0,+20.88061301782110035951550804509609535657969967543959950601079449800940782925626983>
<+437.0,+20.90454496036687233396410185937316218227011739149474394979577239769174954186383345>
<+438.0,+20.92844953645634973271513888704370625806396643347429722612296499284414530121963328>
<+439.0,+20.95232683975696289777667798558794557553682928791844219638809343941853916053047629>
<+440.0,+20.97617696340303093982907027359875196950543715363007969751511527160011851002201382>
<+441.0,+21.0>
<+442.0,+21.02379604162863828841985705749580793824078450382085232156344451110606232587458176>
<+443.0,+21.04756517984918843710114254347438025040776007844961058983983877785232544961296600>
<+444.0,+21.07130750570547769680280932379933495349540131944869666088025825565206849176697950>
<+445.0,+21.09502310972898649979072129309234767864369427462663885730975463219472356202672167>
<+446.0,+21.11871208194287590278623736098523871611874449717063219976129021278550040059771391>
<+447.0,+21.14237451186597441690380262485144375093680669871667422671199760510548498513685495>
<+448.0,+21.16601048851672472401292602911408340568207346465960144294667567360855058584226902>
<+449.0,+21.18962010041709077171765895152004088331144442465392224829777945330099710817065715>
<+450.0,+21.21320343559642573202533086314547117854507813065422109765019606986098717693160558>
<+451.0,+21.23676058159530130177356394523518172708807838578180420360733215700759593233796107>
<+452.0,+21.26029162546929881599824382985862844393452851716519296159374910781480513648507822>
<+453.0,+21.28379665379276263865298091839357236328306771909031376372677954304745916594204436>
<+454.0,+21.30727575266251628843051432827686097396345036694261259903871525495453167176742168>
<+455.0,+21.33072900770154175088639152134354561633284180668313184644234471205089558628182983>
<+456.0,+21.35415650406262242162304793119142125256457553892116022795621208569801796730281603>
<+457.0,+21.37755832643195011895610203783227440272456693912150338681823277250986240684177414>
<+458.0,+21.40093455903269659825230370988451204510746753796586006637235240719608742768006769>
<+459.0,+21.42428528562854999399819943410179583629851347970820149962529264829746121932006565>
<+460.0,+21.44761058952721660962831934430856941018042371110057511289980465631331062541400207>
<+461.0,+21.47091055358388846920969878103902216555733850013356884438193666756332100940249499>
<+462.0,+21.49418526020467703924401057548171299596381846784477041895198999276883858358931294>
<+463.0,+21.51743479135001352310772968973004275559977403875043673048160014958396531492345023>
<+464.0,+21.54065922853801612500284196616131822518048064657915535072155468006658385131063477>
<+465.0,+21.56385865284782467473394179900118475768506033170789803533130052571573413726860398>
<+466.0,+21.58703314492290299916047254608645179580712706600905437547249610106010405146927948>
<+467.0,+21.61018278497430942079371541961115452032812418668455032939718924014757207786188805>
<+468.0,+21.63330765278393575871532760482297567750777944307147727626271833736300168975806267>
<+469.0,+21.65640782770771520178620108679117729744931753678657786496412764090927673784222695>
<+470.0,+21.67948338867879941898962448073209935826865748722042025271116657355409774185379293>
<+471.0,+21.70253441421070526670967644734409137922248051330541504553400068861438639211355717>
<+472.0,+21.72556098240043144778298674947482240245332396684950305252986113882163971958973878>
<+473.0,+21.74856317093154547227802504603522070902970136913515049825800489465699590909359746>
<+474.0,+21.77154105707724126514950249869577030398123839860863897913386149519763911120730725>
<+475.0,+21.79449471770336776118490991929807829568501962616222468445172069079778664101579042>
<+476.0,+21.81742422927142882300430897474580374561026740538924750603348978967665755019432899>
<+477.0,+21.84032966784155481329190747458109838133300904772943231513454537385234721587471554>
<+478.0,+21.86321110907544614792738010053953323603155455725534430925413695834309118417455796>
<+479.0,+21.88606862823928915224506214368473558162235466331169913274831667241624164594221765>
<+480.0,+21.90890230020664453827879131203208535810978779991933016907577798929973108490890935>
<+481.0,+21.93171219946130881654807169612756365017199405825225269228067926478813771798128795>
<+482.0,+21.95449840010014895170617904409677046908829314332557537593127458148804065837609492>
<+483.0,+21.97726097583591056720163586089555091651592577019931656179808798814194865062082108>
<+484.0,+22.0>
<+485.0,+22.02271554554524050237199557840842860244179835873168495583825986605462349123960847>
<+486.0,+22.04540768504860288377555667235302252769352732591003115589423310525864339711583523>
<+487.0,+22.06807649071391088194226055205784778654285460335392877218467397210033973824428163>
<+488.0,+22.09072203437452154842182768668863412170455924066900265439420518912546043104900563>
<+489.0,+22.11334438749598093004081072192085361792483944272576135509941842402376096954474979>
<+490.0,+22.13594362117865532399225481102902973603688597527651778800253396954816107047466754>
<+491.0,+22.15851980616033838059097772037592804674925240685534337278788204820711559314980900>
<+492.0,+22.18107301281883432410320020521986583692675348490804004575462567817000326620257921>
<+493.0,+22.20360331117451755848858453832649594382655403114450944457349991126035941649234554>
<+494.0,+22.22611077089286892137635974467970799014825436810029728826564278517209199451565790>
<+495.0,+22.24859546128698884613419232240213918293971295729250479619786979303149055294155072>
<+496.0,+22.27105745132008768847788519567419808190557351028165721587373034241435935701694517>
<+497.0,+22.29349680960795347071095706494669948550070500107176878426520031773417151137796863>
<+498.0,+22.31591360442139729337478806993898063476786642952290515075519770099620143184719687>
<+499.0,+22.33830790368867666083145143889428915442075913194738076130972370805477219993416272>
<+500.0,+22.36067977499789696409173668731276235440618359611525724270897245410520925637804899>
         +0.0000000000000000000000000000000000000000000000000000000000000000000000000000000007411
